model,weight,metric,pearson
DIN-Rerank,w_rel,Recall@10,0.824823948859921
DIN-Rerank,w_rel,NDCG@10,0.8311331966527817
DIN-Rerank,w_rel,Novelty@10,-0.9391890058227013
DIN-Rerank,w_rel,LongTailShare@10,-0.8740343956844489
DIN-Rerank,w_rel,Coverage@10,0.9305313624060018
DIN-Rerank,w_div,Recall@10,0.2301885707787786
DIN-Rerank,w_div,NDCG@10,0.21172720901107456
DIN-Rerank,w_div,Novelty@10,-0.11550912381130117
DIN-Rerank,w_div,LongTailShare@10,-0.10889855055021347
DIN-Rerank,w_div,Coverage@10,0.12519436896038158
DIN-Rerank,w_novelty,Recall@10,-0.545027132102012
DIN-Rerank,w_novelty,NDCG@10,-0.5536324839126937
DIN-Rerank,w_novelty,Novelty@10,0.3597236050951742
DIN-Rerank,w_novelty,LongTailShare@10,0.5682986668933346
DIN-Rerank,w_novelty,Coverage@10,-0.1471266588299689
DIN-Rerank,w_longtail,Recall@10,-0.7239288901165214
DIN-Rerank,w_longtail,NDCG@10,-0.7205161533747503
DIN-Rerank,w_longtail,Novelty@10,0.86578354478928
DIN-Rerank,w_longtail,LongTailShare@10,0.721466520831375
DIN-Rerank,w_longtail,Coverage@10,-0.9376666776934081
HybridNCF-Rerank,w_rel,Recall@10,0.8681607277640989
HybridNCF-Rerank,w_rel,NDCG@10,0.8779346910692322
HybridNCF-Rerank,w_rel,Novelty@10,-0.941470579984654
HybridNCF-Rerank,w_rel,LongTailShare@10,-0.9145057689346207
HybridNCF-Rerank,w_rel,Coverage@10,0.9168100939186996
HybridNCF-Rerank,w_div,Recall@10,0.1364905597873397
HybridNCF-Rerank,w_div,NDCG@10,0.13476876941081128
HybridNCF-Rerank,w_div,Novelty@10,-0.11382342203236073
HybridNCF-Rerank,w_div,LongTailShare@10,-0.09407962000070723
HybridNCF-Rerank,w_div,Coverage@10,0.1740347239865908
HybridNCF-Rerank,w_novelty,Recall@10,-0.5055182328661268
HybridNCF-Rerank,w_novelty,NDCG@10,-0.5168365548984045
HybridNCF-Rerank,w_novelty,Novelty@10,0.311879040772893
HybridNCF-Rerank,w_novelty,LongTailShare@10,0.47029403086528654
HybridNCF-Rerank,w_novelty,Coverage@10,-0.10301246090304611
HybridNCF-Rerank,w_longtail,Recall@10,-0.7482998314594824
HybridNCF-Rerank,w_longtail,NDCG@10,-0.7534992198684827
HybridNCF-Rerank,w_longtail,Novelty@10,0.884856303664815
HybridNCF-Rerank,w_longtail,LongTailShare@10,0.7927881761577127
HybridNCF-Rerank,w_longtail,Coverage@10,-0.9574622981110588
LightGCN-Rerank,w_rel,Recall@10,0.8269323767944851
LightGCN-Rerank,w_rel,NDCG@10,0.7855499541382973
LightGCN-Rerank,w_rel,Novelty@10,-0.9017144661969204
LightGCN-Rerank,w_rel,LongTailShare@10,-0.8874147427614296
LightGCN-Rerank,w_rel,Coverage@10,-0.9098225334081885
LightGCN-Rerank,w_div,Recall@10,-0.024959349462294694
LightGCN-Rerank,w_div,NDCG@10,-0.12121644475082909
LightGCN-Rerank,w_div,Novelty@10,-0.13863788173934202
LightGCN-Rerank,w_div,LongTailShare@10,-0.15975991124122063
LightGCN-Rerank,w_div,Coverage@10,-0.13556679979970562
LightGCN-Rerank,w_novelty,Recall@10,-0.4635870750128913
LightGCN-Rerank,w_novelty,NDCG@10,-0.3226607094559956
LightGCN-Rerank,w_novelty,Novelty@10,0.4193120414810473
LightGCN-Rerank,w_novelty,LongTailShare@10,0.2597922941758163
LightGCN-Rerank,w_novelty,Coverage@10,0.33807355804309286
LightGCN-Rerank,w_longtail,Recall@10,-0.6630212001491923
LightGCN-Rerank,w_longtail,NDCG@10,-0.6371809267674121
LightGCN-Rerank,w_longtail,Novelty@10,0.8144673737854813
LightGCN-Rerank,w_longtail,LongTailShare@10,0.8655027745349956
LightGCN-Rerank,w_longtail,Coverage@10,0.8510792109716995
MMGCN-Rerank,w_rel,Recall@10,0.6098542803436507
MMGCN-Rerank,w_rel,NDCG@10,0.2967775537239151
MMGCN-Rerank,w_rel,Novelty@10,-0.8997655262246815
MMGCN-Rerank,w_rel,LongTailShare@10,-0.8731781364311682
MMGCN-Rerank,w_rel,Coverage@10,-0.9122392660852854
MMGCN-Rerank,w_div,Recall@10,0.4481741250272716
MMGCN-Rerank,w_div,NDCG@10,0.5185184574179055
MMGCN-Rerank,w_div,Novelty@10,-0.13588788053046277
MMGCN-Rerank,w_div,LongTailShare@10,-0.17512437607739534
MMGCN-Rerank,w_div,Coverage@10,-0.14255034053051607
MMGCN-Rerank,w_novelty,Recall@10,-0.411892191195483
MMGCN-Rerank,w_novelty,NDCG@10,-0.25681207857943733
MMGCN-Rerank,w_novelty,Novelty@10,0.4334294674336803
MMGCN-Rerank,w_novelty,LongTailShare@10,0.26645611156687726
MMGCN-Rerank,w_novelty,Coverage@10,0.3627210308462363
MMGCN-Rerank,w_longtail,Recall@10,-0.6329171220705512
MMGCN-Rerank,w_longtail,NDCG@10,-0.3965831121975219
MMGCN-Rerank,w_longtail,Novelty@10,0.8063644868865564
MMGCN-Rerank,w_longtail,LongTailShare@10,0.8541932604676056
MMGCN-Rerank,w_longtail,Coverage@10,0.8471237156397586
MultiVAE-Rerank,w_rel,Recall@10,0.6335318663718369
MultiVAE-Rerank,w_rel,NDCG@10,0.7757591591694536
MultiVAE-Rerank,w_rel,Novelty@10,-0.917292032657931
MultiVAE-Rerank,w_rel,LongTailShare@10,-0.9235331891585501
MultiVAE-Rerank,w_rel,Coverage@10,-0.9336844485518989
MultiVAE-Rerank,w_div,Recall@10,0.5015695092076885
MultiVAE-Rerank,w_div,NDCG@10,0.3084422438209072
MultiVAE-Rerank,w_div,Novelty@10,-0.1351834439581484
MultiVAE-Rerank,w_div,LongTailShare@10,-0.1408907064679969
MultiVAE-Rerank,w_div,Coverage@10,-0.12808267955867192
MultiVAE-Rerank,w_novelty,Recall@10,-0.3071362479487377
MultiVAE-Rerank,w_novelty,NDCG@10,-0.4428954196034447
MultiVAE-Rerank,w_novelty,Novelty@10,0.3755058007492132
MultiVAE-Rerank,w_novelty,LongTailShare@10,0.2690198426285712
MultiVAE-Rerank,w_novelty,Coverage@10,0.18339583673972468
MultiVAE-Rerank,w_longtail,Recall@10,-0.7143826347790964
MultiVAE-Rerank,w_longtail,NDCG@10,-0.7395421686553018
MultiVAE-Rerank,w_longtail,Novelty@10,0.8449440516848364
MultiVAE-Rerank,w_longtail,LongTailShare@10,0.8920089605138432
MultiVAE-Rerank,w_longtail,Coverage@10,0.9287547437334659
NGCF-Rerank,w_rel,Recall@10,0.5534999782004603
NGCF-Rerank,w_rel,NDCG@10,0.7489287187641321
NGCF-Rerank,w_rel,Novelty@10,-0.8910722298670153
NGCF-Rerank,w_rel,LongTailShare@10,-0.8949043797045537
NGCF-Rerank,w_rel,Coverage@10,-0.9156293836149269
NGCF-Rerank,w_div,Recall@10,0.13817917808081023
NGCF-Rerank,w_div,NDCG@10,0.18785781401480353
NGCF-Rerank,w_div,Novelty@10,-0.14372705533573524
NGCF-Rerank,w_div,LongTailShare@10,-0.15932663084655016
NGCF-Rerank,w_div,Coverage@10,-0.14307767425472193
NGCF-Rerank,w_novelty,Recall@10,0.11608142206000312
NGCF-Rerank,w_novelty,NDCG@10,-0.0977901150966681
NGCF-Rerank,w_novelty,Novelty@10,0.45349383399734605
NGCF-Rerank,w_novelty,LongTailShare@10,0.3068956894558356
NGCF-Rerank,w_novelty,Coverage@10,0.27851667719157885
NGCF-Rerank,w_longtail,Recall@10,-0.6547677724752847
NGCF-Rerank,w_longtail,NDCG@10,-0.7937702564463679
NGCF-Rerank,w_longtail,Novelty@10,0.7930928107550406
NGCF-Rerank,w_longtail,LongTailShare@10,0.8558596437820084
NGCF-Rerank,w_longtail,Coverage@10,0.8813236867394189
SVDPP-Rerank,w_rel,Recall@10,0.8558560160877755
SVDPP-Rerank,w_rel,NDCG@10,0.8951334706850111
SVDPP-Rerank,w_rel,Novelty@10,-0.9333301770624073
SVDPP-Rerank,w_rel,LongTailShare@10,-0.900364692544982
SVDPP-Rerank,w_rel,Coverage@10,0.9169340811673988
SVDPP-Rerank,w_div,Recall@10,0.10246963034614298
SVDPP-Rerank,w_div,NDCG@10,0.10916762150663799
SVDPP-Rerank,w_div,Novelty@10,-0.126136187984084
SVDPP-Rerank,w_div,LongTailShare@10,-0.1139710197456157
SVDPP-Rerank,w_div,Coverage@10,0.13059523026715902
SVDPP-Rerank,w_novelty,Recall@10,-0.5496198305797956
SVDPP-Rerank,w_novelty,NDCG@10,-0.5074206909954877
SVDPP-Rerank,w_novelty,Novelty@10,0.2683299811450987
SVDPP-Rerank,w_novelty,LongTailShare@10,0.4938216866372824
SVDPP-Rerank,w_novelty,Coverage@10,-0.3133122418321482
SVDPP-Rerank,w_longtail,Recall@10,-0.7074395555083941
SVDPP-Rerank,w_longtail,NDCG@10,-0.7651022821783746
SVDPP-Rerank,w_longtail,Novelty@10,0.896859870577521
SVDPP-Rerank,w_longtail,LongTailShare@10,0.7770978457991574
SVDPP-Rerank,w_longtail,Coverage@10,-0.8654891659752711
